MDACode,Numeric MDA Code,MDA,Ministry
0535004001,535004001,OYO NATIONAL PARK,FEDERAL MINISTRY OF ENVIRONMENT
0220002001,220002001,DEBT MANAGEMENT OFFICE,FEDERAL MINISTRY OF FINANCE
0220001001,220001001,FEDERAL MINISTRY OF FINANCE - HQTRS,FEDERAL MINISTRY OF FINANCE
0220006001,220006001,INVESTMENT AND SECURITIES TRIBUNAL,FEDERAL MINISTRY OF FINANCE
0220007001,220007001,OFFICE OF THE ACCOUNTANT GENERAL OF THE FEDERATION,FEDERAL MINISTRY OF FINANCE
0220015001,220015001,PENSION TRANSITION ARRANGEMENT DEPARTMENT,FEDERAL MINISTRY OF FINANCE
0521026016,521026016,"ABUBAKAR TAFAWA BALEWA UNIVERSITY TEACHING HOSPITAL,BAUCHI",FEDERAL MINISTRY OF HEALTH
0521026003,521026003,AHMADU BELLO UNIVERSITY TEACHING HOSPITAL,FEDERAL MINISTRY OF HEALTH
0521026013,521026013,AMINU KANO UNIVERSITY TEACHING HOSPITAL,FEDERAL MINISTRY OF HEALTH
0521010001,521010001,COMMUNITY HEALTH PRACTITIONERS REGISTRATION BOARD,FEDERAL MINISTRY OF HEALTH
0521025001,521025001,COMMUNITY HEALTH TUTOR PROGRAMME UCH,FEDERAL MINISTRY OF HEALTH
0521007001,521007001,DENTAL TECHNOLOGY REGISTRATION BOARD,FEDERAL MINISTRY OF HEALTH
0521039001,521039001,DENTAL THERAPISTS REGISTRATION BOARD,FEDERAL MINISTRY OF HEALTH
0521017001,521017001,ENVIRONMENTAL HEALTH OFFICERS TUTORS-IBADAN,FEDERAL MINISTRY OF HEALTH
0521027011,521027011,"FEDERAL COLLEGE OF COMPLEMENTARY AND ALTERNATIVE MEDICINE,NIGERIA",FEDERAL MINISTRY OF HEALTH
0521043001,521043001,FEDERAL COLLEGE OF ORTHOPAEDIC TECHNOLOGY IGBOBI LAGOS,FEDERAL MINISTRY OF HEALTH
0521027019,521027019,"FEDERAL MEDICAL CENTRE, ABEOKUTA",FEDERAL MINISTRY OF HEALTH
0521027003,521027003,"FEDERAL MEDICAL CENTRE, ABUJA",FEDERAL MINISTRY OF HEALTH
0521027025,521027025,"FEDERAL MEDICAL CENTRE, ASABA",FEDERAL MINISTRY OF HEALTH
0521027032,521027032,"FEDERAL MEDICAL CENTRE, AZARE, BAUCHI",FEDERAL MINISTRY OF HEALTH
0521027037,521027037,"FEDERAL MEDICAL CENTRE, BAYELSA STATE",FEDERAL MINISTRY OF HEALTH
0521027026,521027026,"FEDERAL MEDICAL CENTRE, BIDA",FEDERAL MINISTRY OF HEALTH
0521027038,521027038,"FEDERAL MEDICAL CENTRE, EBUTE METTA",FEDERAL MINISTRY OF HEALTH
0521027027,521027027,"FEDERAL MEDICAL CENTRE, GUSAU ,ZAMFARA",FEDERAL MINISTRY OF HEALTH
0521027035,521027035,"FEDERAL MEDICAL CENTRE, JIGAWA STATE",FEDERAL MINISTRY OF HEALTH
0521027022,521027022,"FEDERAL MEDICAL CENTRE, KATSINA",FEDERAL MINISTRY OF HEALTH
0521027033,521027033,"FEDERAL MEDICAL CENTRE, KEBBI STATE",FEDERAL MINISTRY OF HEALTH
0521027031,521027031,"FEDERAL MEDICAL CENTRE, KOGI",FEDERAL MINISTRY OF HEALTH
0521027021,521027021,"FEDERAL MEDICAL CENTRE, MAKURDI",FEDERAL MINISTRY OF HEALTH
0521027036,521027036,"FEDERAL MEDICAL CENTRE, NASARAWA STATE",FEDERAL MINISTRY OF HEALTH
0521027024,521027024,"FEDERAL MEDICAL CENTRE, NGURU YOBE",FEDERAL MINISTRY OF HEALTH
0521027020,521027020,"FEDERAL MEDICAL CENTRE, OWERRI",FEDERAL MINISTRY OF HEALTH
0521027018,521027018,"FEDERAL MEDICAL CENTRE, OWO",FEDERAL MINISTRY OF HEALTH
0521027034,521027034,"FEDERAL MEDICAL CENTRE, TARABA STATE",FEDERAL MINISTRY OF HEALTH
0521027028,521027028,"FEDERAL MEDICAL CENTRE, YOLA, ADAMAWA",FEDERAL MINISTRY OF HEALTH
0521027017,521027017,"FEDERAL MEDICAL CENTRE,UMUAHIA",FEDERAL MINISTRY OF HEALTH
0521001001,521001001,FEDERAL MINISTRY OF HEALTH - HQTRS,FEDERAL MINISTRY OF HEALTH
0521027010,521027010,"FEDERAL NEURO - PSYCHIATRIC HOSPITAL, ABEOKUTA",FEDERAL MINISTRY OF HEALTH
0521027008,521027008,"FEDERAL NEURO - PSYCHIATRIC HOSPITAL, KWARE, SOKOTO",FEDERAL MINISTRY OF HEALTH
0521027009,521027009,"FEDERAL NEURO - PSYCHIATRIC HOSPITAL, YABA",FEDERAL MINISTRY OF HEALTH
0521027012,521027012,FEDERAL PSYCHIATRIC HOSPITAL BENIN CITY,FEDERAL MINISTRY OF HEALTH
0521027006,521027006,FEDERAL PSYCHIATRIC HOSPITAL CALABAR,FEDERAL MINISTRY OF HEALTH
0521027004,521027004,FEDERAL PSYCHIATRIC HOSPITAL ENUGU,FEDERAL MINISTRY OF HEALTH
0521027005,521027005,FEDERAL PSYCHIATRIC HOSPITAL KADUNA,FEDERAL MINISTRY OF HEALTH
0521027007,521027007,FEDERAL PSYCHIATRIC HOSPITAL MAIDUGURI,FEDERAL MINISTRY OF HEALTH
0521027042,521027042,"FEDERAL SCHOOL OF MEDICAL LABORATORY, JOS",FEDERAL MINISTRY OF HEALTH
0521035001,521035001,FEDERAL SCHOOL OF OCCUPATIONAL THERAPHY YABA.,FEDERAL MINISTRY OF HEALTH
0521027001,521027001,"FEDERAL SPECIALIST HOSPITAL, IRRUA",FEDERAL MINISTRY OF HEALTH
0521028001,521028001,"FEDERAL STAFF CLINICS, ABUJA PHASE I",FEDERAL MINISTRY OF HEALTH
0521028002,521028002,"FEDERAL STAFF CLINICS, ABUJA PHASE II",FEDERAL MINISTRY OF HEALTH
0521028031,521028031,"FEDERAL STAFF CLINICS, GWARINPA, ABUJA",FEDERAL MINISTRY OF HEALTH
0521028029,521028029,"FEDERAL STAFF DENTAL CLINICS, ABUJA",FEDERAL MINISTRY OF HEALTH
0521028030,521028030,"FEDERAL STAFF DENTAL CLINICS, LAGOS",FEDERAL MINISTRY OF HEALTH
0521028028,521028028,FEDERAL STAFF EYE CLINIC ABUJA,FEDERAL MINISTRY OF HEALTH
0521026017,521026017,FEDERAL TEACHING HOSPITAL ABAKALIKI,FEDERAL MINISTRY OF HEALTH
0521026018,521026018,"FEDERAL TEACHING HOSPITAL, GOMBE",FEDERAL MINISTRY OF HEALTH
0521026019,521026019,"FEDERAL TEACHING HOSPITAL, IDO EKITI",FEDERAL MINISTRY OF HEALTH
0521016001,521016001,FEDERALSCHOOL OF DENTAL TECHNOLOGY AND THERAPHY ENUGU,FEDERAL MINISTRY OF HEALTH
0521008001,521008001,HEALTH RECORDS REGISTRATION BOARD,FEDERAL MINISTRY OF HEALTH
0521037001,521037001,INSTITUTE OF CHARTERED CHEMIST OF NIGERIA,FEDERAL MINISTRY OF HEALTH
0521030005,521030005,INSTITUTE OF CHILD HEALTH ENUGU,FEDERAL MINISTRY OF HEALTH
0521038001,521038001,INSTITUTE OF FORENSIC LABORATORY-OSHODI,FEDERAL MINISTRY OF HEALTH
0521033001,521033001,INSTITUTE OF PUBLIC ANALYST OF NIGERIA,FEDERAL MINISTRY OF HEALTH
0521027041,521027041,INTERCOUNTRY CENTRE FOR ORAL HEALTH JOS,FEDERAL MINISTRY OF HEALTH
0521026008,521026008,JOS UNIVERSITY TEACHING HOSPITAL,FEDERAL MINISTRY OF HEALTH
0521026002,521026002,LAGOS UNIVERSITY TEACHING HOSPITAL,FEDERAL MINISTRY OF HEALTH
0521013001,521013001,MEDICAL AND DENTAL COUNCIL OF NIGERIA,FEDERAL MINISTRY OF HEALTH
0521034001,521034001,"MEDICAL LAB. SCIENCE COUNCIL OF NIGERIA, YABA.",FEDERAL MINISTRY OF HEALTH
0521015001,521015001,MEDICAL REHABILITATION THERAPHY BOARD,FEDERAL MINISTRY OF HEALTH
0521014001,521014001,NATIONAL AGENCY FOR FOOD AND DRUG ADMINISTRATION AND CONTROL,FEDERAL MINISTRY OF HEALTH
0521005001,521005001,NATIONAL ARBOVIRUS AND VECTOR RESEARCH,FEDERAL MINISTRY OF HEALTH
0521027040,521027040,NATIONAL EAR CARE CENTRE,FEDERAL MINISTRY OF HEALTH
0521027039,521027039,NATIONAL EYE CENTRE KADUNA,FEDERAL MINISTRY OF HEALTH
0521023004,521023004,NATIONAL HEALTH EQUIPMENT TRAINING CENTRES - ENUGU,FEDERAL MINISTRY OF HEALTH
0521002001,521002001,NATIONAL HEALTH INSURANCE SCHEME,FEDERAL MINISTRY OF HEALTH
0521049001,521049001,NATIONAL HOSPITAL,FEDERAL MINISTRY OF HEALTH
0521048002,521048002,NATIONAL OBSTETRIC FISTULA CENTRE BAUCHI,FEDERAL MINISTRY OF HEALTH
0521048003,521048003,NATIONAL OBSTETRIC FISTULA CENTRE KATSINA,FEDERAL MINISTRY OF HEALTH
0521048001,521048001,"NATIONAL OBSTETRIC FISTULA CENTRE, ABAKALIKI",FEDERAL MINISTRY OF HEALTH
0521027014,521027014,"NATIONAL ORTHOPAEDIC HOSPITAL,DALA,KANO",FEDERAL MINISTRY OF HEALTH
0521027015,521027015,"NATIONAL ORTHOPAEDIC HOSPITAL,ENUGU",FEDERAL MINISTRY OF HEALTH
0521027013,521027013,"NATIONAL ORTHOPAEDIC HOSPITAL,LAGOS",FEDERAL MINISTRY OF HEALTH
0521022001,521022001,NATIONAL POST GRADUATE MEDICAL COLLEGE OF NIGERIA- IJANIKIN LAGOS,FEDERAL MINISTRY OF HEALTH
0521003001,521003001,NATIONAL PRIMARY HEALTH CARE DEVELOPMENT AGENCY,FEDERAL MINISTRY OF HEALTH
0521027016,521027016,"NATIONAL TB AND LEPROSY REFERRED HOSPITAL AND TRAINING,ZARIA",FEDERAL MINISTRY OF HEALTH
0521031001,521031001,NATIONAL. INSTITUTE FOR PHARM. RESEARCH AND DEVELOPMENT ABUJA.,FEDERAL MINISTRY OF HEALTH
0521027047,521027047,NIGERIA CENTRE FOR DISEASE CONTROL ABUJA,FEDERAL MINISTRY OF HEALTH
0521032001,521032001,NIGERIA INSTITUTE OF MEDICAL RESEARCH YABA,FEDERAL MINISTRY OF HEALTH
0521026014,521026014,"NNAMDI AZIKIWE UNIVERSITY TEACHING HOSPITAL,NNEWI",FEDERAL MINISTRY OF HEALTH
0521036001,521036001,"NOMA CHILDREN HOSPITAL , SOKOTO.",FEDERAL MINISTRY OF HEALTH
0521019001,521019001,NURSE TUTOR PRORAMME AKOKA LAGOS,FEDERAL MINISTRY OF HEALTH
0521018001,521018001,NURSE TUTOR TRAINING -ENUGU,FEDERAL MINISTRY OF HEALTH
0521021001,521021001,NURSE TUTOR TRAINING -IBADAN,FEDERAL MINISTRY OF HEALTH
0521020001,521020001,NURSE TUTOR TRAINING -KADUNA,FEDERAL MINISTRY OF HEALTH
0521011001,521011001,NURSING AND MIDWIFERY COUNCIL,FEDERAL MINISTRY OF HEALTH
0521026006,521026006,OBAFEMI AWOLOWO UNIVERSITY TEACHING HOSPITAL,FEDERAL MINISTRY OF HEALTH
0521009001,521009001,OPTOMETRIST AND DISPENSING OPTICIANS BOARD OF NIGERIA,FEDERAL MINISTRY OF HEALTH
0521012001,521012001,PHARMACIST COUNCIL OF NIGERIA,FEDERAL MINISTRY OF HEALTH
0521024002,521024002,PHC TUTORS PROGRAMME KADUNA POLY KADUNA,FEDERAL MINISTRY OF HEALTH
0521024001,521024001,PHC TUTORS PROGRAMME UCH-IBADAN,FEDERAL MINISTRY OF HEALTH
0521029012,521029012,PORT HEALTH SERVICE ABEOKUTA,FEDERAL MINISTRY OF HEALTH
0521029014,521029014,PORT HEALTH SERVICE CALABAR,FEDERAL MINISTRY OF HEALTH
0521029008,521029008,PORT HEALTH SERVICE DUTSE,FEDERAL MINISTRY OF HEALTH
0521029011,521029011,PORT HEALTH SERVICE IBADAN,FEDERAL MINISTRY OF HEALTH
0521029009,521029009,PORT HEALTH SERVICE ILORIN,FEDERAL MINISTRY OF HEALTH
0521029006,521029006,PORT HEALTH SERVICE KANO,FEDERAL MINISTRY OF HEALTH
0521029007,521029007,PORT HEALTH SERVICE KATSINA,FEDERAL MINISTRY OF HEALTH
0521029015,521029015,PORT HEALTH SERVICE LAGOS,FEDERAL MINISTRY OF HEALTH
0521029013,521029013,PORT HEALTH SERVICE PORT HARCOURT,FEDERAL MINISTRY OF HEALTH
0521029010,521029010,PORT HEALTH SERVICE SOKOTO,FEDERAL MINISTRY OF HEALTH
0521029016,521029016,PORT HEALTH SERVICE WARRI,FEDERAL MINISTRY OF HEALTH
0521006001,521006001,RADIOGRAPHERS REGISTRATION BOARD,FEDERAL MINISTRY OF HEALTH
0521026001,521026001,UNIVERSITY COLLEGE HOSPITAL IBADAN,FEDERAL MINISTRY OF HEALTH
0521026015,521026015,UNIVERSITY OF ABUJA TEACHING HOSPITAL GWAGWALADA,FEDERAL MINISTRY OF HEALTH
0521026005,521026005,UNIVERSITY OF BENIN TEACHING HOSPITAL,FEDERAL MINISTRY OF HEALTH
0521026010,521026010,UNIVERSITY OF CALABAR TEACHING HOSPITAL,FEDERAL MINISTRY OF HEALTH
0521026007,521026007,"UNIVERSITY OF ILORIN TEACHING HOSPITAL,ILORIN",FEDERAL MINISTRY OF HEALTH
0521026011,521026011,UNIVERSITY OF MAIDUGURI TEACHING HOSPITAL,FEDERAL MINISTRY OF HEALTH
0521026004,521026004,"UNIVERSITY OF NIGERIA TEACHING HOSPITAL,ENUGU",FEDERAL MINISTRY OF HEALTH
0521026009,521026009,UNIVERSITY OF PORT HARCOURT TEACHING HOSPITAL,FEDERAL MINISTRY OF HEALTH
0521027002,521027002,UNIVERSITY OF UYO TEACHING HOSPITAL,FEDERAL MINISTRY OF HEALTH
0521026012,521026012,"USMAN DAN FODIO UNIVERSITY TEACHING HOSPITAL,SOKOTO",FEDERAL MINISTRY OF HEALTH
0222009001,222009001,CONSUMER PROTECTION COUNCIL,"FEDERAL MINISTRY OF INDUSTRY, TRADE AND INVESTMENT"
0222012001,222012001,"EXTERNAL TRADE SECTOR, GENEVA (WTO)","FEDERAL MINISTRY OF INDUSTRY, TRADE AND INVESTMENT"
0222001001,222001001,"FEDERAL MINISTRY OF INDUSTRY, TRADE AND INVESTMENT - HQTRS","FEDERAL MINISTRY OF INDUSTRY, TRADE AND INVESTMENT"
0222007001,222007001,FINANCIAL REPORTING COUNCIL OF NIGERIA (FORMERLY CALLED NASB),"FEDERAL MINISTRY OF INDUSTRY, TRADE AND INVESTMENT"
0222005001,222005001,INDUSTRIAL TRAINING FUND,"FEDERAL MINISTRY OF INDUSTRY, TRADE AND INVESTMENT"
0222010001,222010001,LAGOS INTERNATIONAL TRADE FAIR COMPLEX MANAGEMENT BOARD,"FEDERAL MINISTRY OF INDUSTRY, TRADE AND INVESTMENT"
0222004001,222004001,NATIONAL AUTOMATIVE AND DEVELOPMENT COUNCIL,"FEDERAL MINISTRY OF INDUSTRY, TRADE AND INVESTMENT"
0222015001,222015001,NIGERIA COMMODITY EXCHANGE (NCX),"FEDERAL MINISTRY OF INDUSTRY, TRADE AND INVESTMENT"
0222017001,222017001,NIGERIA TRADE OFFICE - CHINA,"FEDERAL MINISTRY OF INDUSTRY, TRADE AND INVESTMENT"
0222016001,222016001,NIGERIA TRADE OFFICE TAIWAN,"FEDERAL MINISTRY OF INDUSTRY, TRADE AND INVESTMENT"
0222008001,222008001,NIGERIAN EXPORT PROCESING ZONES AUTHORITY,"FEDERAL MINISTRY OF INDUSTRY, TRADE AND INVESTMENT"
0222006001,222006001,NIGERIAN EXPORT PROMOTION COUNCIL,"FEDERAL MINISTRY OF INDUSTRY, TRADE AND INVESTMENT"
0222030001,222030001,NIGERIAN INVESTMENT PROMOTION COUNCIL,"FEDERAL MINISTRY OF INDUSTRY, TRADE AND INVESTMENT"
0222013001,222013001,ONNE OIL AND GAS FREE ZONE AUTHORITY,"FEDERAL MINISTRY OF INDUSTRY, TRADE AND INVESTMENT"
0222027001,222027001,SMALL AND MEDIUM ENTERPRISES DEV. AGENCY. (SMEDAN),"FEDERAL MINISTRY OF INDUSTRY, TRADE AND INVESTMENT"
0222002001,222002001,STANDARD ORGANISATION OF NIGERIA,"FEDERAL MINISTRY OF INDUSTRY, TRADE AND INVESTMENT"
0222014001,222014001,TAFAWA BALEWA SQUARE MANAGEMENT BOARD,"FEDERAL MINISTRY OF INDUSTRY, TRADE AND INVESTMENT"
0123011001,123011001,ADVERTISING PRACTITIONERS OF NIGERIA,FEDERAL MINISTRY OF INFORMATION & CULTURE
0123031005,123031005,CENTRE FOR BLACK AFRICAN ARTS AND CIVILISATION,FEDERAL MINISTRY OF INFORMATION & CULTURE
0123001001,123001001,FEDERAL MINISTRY OF INFORMATION & CULTURE - HQTRS,FEDERAL MINISTRY OF INFORMATION & CULTURE
0123004001,123004001,FEDERAL RADIO CORPORATION OF NIGERIA,FEDERAL MINISTRY OF INFORMATION & CULTURE
0123031012,123031012,INSTITUTE OF ARCHEOLOGY AND MUSEUM STUDIES - JOS,FEDERAL MINISTRY OF INFORMATION & CULTURE
0123008001,123008001,NATIONAL BROADCASTING COMMISSION,FEDERAL MINISTRY OF INFORMATION & CULTURE
0123031003,123031003,NATIONAL COMMISSION FOR MUSEUMS AND MONUMENTS,FEDERAL MINISTRY OF INFORMATION & CULTURE
0123031004,123031004,NATIONAL COUNCIL FOR ARTS AND CULTURE,FEDERAL MINISTRY OF INFORMATION & CULTURE
0123010001,123010001,NATIONAL FILM AND VIDEO CENSOR BOARD,FEDERAL MINISTRY OF INFORMATION & CULTURE
0123031008,123031008,NATIONAL GALLERY OF ART,FEDERAL MINISTRY OF INFORMATION & CULTURE
0123031011,123031011,NATIONAL INSTITUTE FOR CULTURE ORIENTATION,FEDERAL MINISTRY OF INFORMATION & CULTURE
0123031010,123031010,NATIONAL INSTITUTE OF HOSPITALITY AND TOURISM DEVELOPMENT STUDIES,FEDERAL MINISTRY OF INFORMATION & CULTURE
0123031017,123031017,NATIONAL ORIENTATION AGENCY,FEDERAL MINISTRY OF INFORMATION & CULTURE
0123031007,123031007,NATIONAL THEATRE,FEDERAL MINISTRY OF INFORMATION & CULTURE
0123031006,123031006,NATIONAL TROUPE OF NIGERIA,FEDERAL MINISTRY OF INFORMATION & CULTURE
0123031009,123031009,NATIONAL WAR MUSEUM -P UMUAHIA,FEDERAL MINISTRY OF INFORMATION & CULTURE
0123005001,123005001,NEWS AGENCY OF NIGERIA,FEDERAL MINISTRY OF INFORMATION & CULTURE
0123009001,123009001,NIGERIA PRESS COUNCIL,FEDERAL MINISTRY OF INFORMATION & CULTURE
0123007001,123007001,NIGERIAN FILM CORPORATION,FEDERAL MINISTRY OF INFORMATION & CULTURE
0123003001,123003001,NIGERIAN TELEVISION AUTHORITY,FEDERAL MINISTRY OF INFORMATION & CULTURE
0123031002,123031002,NIGERIAN TOURISM DEVELOPMENT CORPORATION,FEDERAL MINISTRY OF INFORMATION & CULTURE
0123006001,123006001,VOICE OF NIGERIA,FEDERAL MINISTRY OF INFORMATION & CULTURE
0124005001,124005001,"CIVIL DEFENCE, IMMIGRATION AND PRISON SERVICE BOARDS (CIPB)",FEDERAL MINISTRY OF INTERIOR
0124006001,124006001,"CUSTOMS, IMMIGRATION, PRISON PENSION OFFICE (CIPPO)",FEDERAL MINISTRY OF INTERIOR
0124007001,124007001,FEDERAL FIRE SERVICE,FEDERAL MINISTRY OF INTERIOR
0124001001,124001001,FEDERAL MINISTRY OF INTERIOR - HQTRS,FEDERAL MINISTRY OF INTERIOR
0124003001,124003001,NIGERIA IMMIGRATION SERVICE,FEDERAL MINISTRY OF INTERIOR
0124002001,124002001,NIGERIA PRISON SERVICE,FEDERAL MINISTRY OF INTERIOR
0124004001,124004001,NIGERIA SECURITY AND CIVIL DEFENCE CORPS,FEDERAL MINISTRY OF INTERIOR
0124011002,124011002,"NIGERIAN POLICE ACADEMY, WUDIL, KANO",FEDERAL MINISTRY OF INTERIOR
0124012001,124012001,POLICE FORMATIONS & COMMAND,FEDERAL MINISTRY OF INTERIOR
0326004001,326004001,COUNCIL OF LEGAL EDUCATION,FEDERAL MINISTRY OF JUSTICE
0326001001,326001001,FEDERAL MINISTRY OF JUSTICE - HQTRS,FEDERAL MINISTRY OF JUSTICE
0326003001,326003001,LEGAL AID COUNCIL,FEDERAL MINISTRY OF JUSTICE
0326011001,326011001,NATIONAL AGENCY FOR THE PROHIBITION OF TRAFFIC IN PERSIONS,FEDERAL MINISTRY OF JUSTICE
0326009001,326009001,NATIONAL DRUG LAW ENFORCEMENT AGENCY,FEDERAL MINISTRY OF JUSTICE
0326010001,326010001,NIGERIA COPYRIGHT COMMISSION,FEDERAL MINISTRY OF JUSTICE
0326005001,326005001,NIGERIA INSTITUTE OF ADVANCED LEGAL STUDIES,FEDERAL MINISTRY OF JUSTICE
0326002001,326002001,NIGERIA LAW REFORM COMMISSIION,FEDERAL MINISTRY OF JUSTICE
0326008001,326008001,REGIONAL CENTRE FOR INTERNATIONAL COMMERCIAL ARBITRATION,FEDERAL MINISTRY OF JUSTICE
0227001001,227001001,FEDERAL MINISTRY OF LABOUR AND EMPLOYMENT - HQTRS,FEDERAL MINISTRY OF LABOUR AND EMPLOYMENT
0227002001,227002001,INDUSTRIAL ARBTRATION PANEL,FEDERAL MINISTRY OF LABOUR AND EMPLOYMENT
0227003001,227003001,MICHAEL IMOUDU INSTITUTE OF LABOUR STUDIES,FEDERAL MINISTRY OF LABOUR AND EMPLOYMENT
0227005001,227005001,NATIONAL DIRECTORATE OF EMPOLYMENT,FEDERAL MINISTRY OF LABOUR AND EMPLOYMENT
0227004001,227004001,NATIONAL PRODUCTIVITY CENTRE,FEDERAL MINISTRY OF LABOUR AND EMPLOYMENT
0233011001,233011001,AJAOKUTA STEEL COMPANY LIMITED,FEDERAL MINISTRY OF MINES AND STEEL DEVELOPMENT
0233002001,233002001,COUNCIL OF NIGERIAN MINING ENGINEERS AND GEOSCIENCES,FEDERAL MINISTRY OF MINES AND STEEL DEVELOPMENT
0233001001,233001001,FEDERAL MINISTRY OF MINES AND STEEL DEVELOPMENT - HQTRS,FEDERAL MINISTRY OF MINES AND STEEL DEVELOPMENT
0233006001,233006001,"METALLURGIGAL TRAIINAG ISTITTUTE, ONITSHA",FEDERAL MINISTRY OF MINES AND STEEL DEVELOPMENT
0233008001,233008001,NATIONAL IRON ORE MINING PROJECT - ITAKPE,FEDERAL MINISTRY OF MINES AND STEEL DEVELOPMENT
0233005001,233005001,NATIONAL METALLURGICAL DEVELOPMENT CENTRE JOS.,FEDERAL MINISTRY OF MINES AND STEEL DEVELOPMENT
0233004001,233004001,"NATIONAL STEEL RAW MATERIAL EXPLORATION AAGENCY , KADUNA",FEDERAL MINISTRY OF MINES AND STEEL DEVELOPMENT
0233009001,233009001,NIGERIA INSTITUTE OF MINING AND GEOSCIENCE,FEDERAL MINISTRY OF MINES AND STEEL DEVELOPMENT
0233010001,233010001,NIGERIA MINING CADASTRE OFFICE & CENTRES,FEDERAL MINISTRY OF MINES AND STEEL DEVELOPMENT
0233003001,233003001,NIGERIAN GEOLOGICAL SURVEY AGENCY,FEDERAL MINISTRY OF MINES AND STEEL DEVELOPMENT
0233012001,233012001,SOLID MINERAL DEVELOPMENT FUND OFFICE,FEDERAL MINISTRY OF MINES AND STEEL DEVELOPMENT
0451001001,451001001,FEDERAL MINISTRY OF NIGER DELTA - HQTRS,FEDERAL MINISTRY OF NIGER DELTA
0232002001,232002001,DEPARTMENT OF PETROLEUM RESOURCES,FEDERAL MINISTRY OF PETROLEUM RESOURCES
0232001001,232001001,FEDERAL MINISTRY OF PETROLEUM RESOURCES - HQTRS,FEDERAL MINISTRY OF PETROLEUM RESOURCES
0232007001,232007001,NIGERIA CONTENT DEVELOPMENT AND MONITORING BOARD,FEDERAL MINISTRY OF PETROLEUM RESOURCES
0232009001,232009001,NIGERIA NUCLEAR REGULATION AUTHORITY,FEDERAL MINISTRY OF PETROLEUM RESOURCES
0232008008,232008008,PETROLEUM PRODUCTS PRICING REGULATORY AGENCY (PPPRA),FEDERAL MINISTRY OF PETROLEUM RESOURCES
0232003001,232003001,PETROLEUM TRAINING INSTITUTE,FEDERAL MINISTRY OF PETROLEUM RESOURCES
0231089005,231089005,COUNCIL FOR THE REGULATION OF ENGINEERING IN NIGERIA (COREN),"FEDERAL MINISTRY OF POWER, WORKS & HOUSING"
0231001001,231001001,"FEDERAL MINISTRY OF POWER, WORKS & HOUSING - HQTRS","FEDERAL MINISTRY OF POWER, WORKS & HOUSING"
0231089004,231089004,FEDERAL ROAD MAINTENANCE AGENCY,"FEDERAL MINISTRY OF POWER, WORKS & HOUSING"
0231089003,231089003,"FEDERAL SCHOOL OF SURVEY , OYO","FEDERAL MINISTRY OF POWER, WORKS & HOUSING"
0231010001,231010001,NATIONAL POWER TRAINING INSTITUTE,"FEDERAL MINISTRY OF POWER, WORKS & HOUSING"
0231003001,231003001,NATIONAL RURAL ELECTRIFICATION AGENCY,"FEDERAL MINISTRY OF POWER, WORKS & HOUSING"
0231011001,231011001,NIGERIA ELECTRICITY LIABILITY MANAGEMENT LIMITED,"FEDERAL MINISTRY OF POWER, WORKS & HOUSING"
0231005001,231005001,NIGERIA ELECTRICITY MANAGEMENT SERVICES AGENCY (NEMSA),"FEDERAL MINISTRY OF POWER, WORKS & HOUSING"
0231034001,231034001,NIGERIAN BULK ELECTRICITY TRADING,"FEDERAL MINISTRY OF POWER, WORKS & HOUSING"
023100400100,23100400100,NIGERIAN ELECTRICITY REGULATION COMMISSION,"FEDERAL MINISTRY OF POWER, WORKS & HOUSING"
0231089002,231089002,OFFICE OF THE SURVEYOR-GENERAL OF THE FEDERATION,"FEDERAL MINISTRY OF POWER, WORKS & HOUSING"
0231089007,231089007,REGIONAL CENTRE FOR TRAINING IN AEROSPACE SURVEY,"FEDERAL MINISTRY OF POWER, WORKS & HOUSING"
0231089006,231089006,SURVEYOR COUNCIL OF NIGERIA,"FEDERAL MINISTRY OF POWER, WORKS & HOUSING"
0231020001,231020001,TRANSMISSION COMPANY OF NIGERIA,"FEDERAL MINISTRY OF POWER, WORKS & HOUSING"
0228064001,228064001,"ADVANCE MANUFACTURING TECHNOLOGY PROGRAMME, TARABA",FEDERAL MINISTRY OF SCIENCE AND TECHNOLOGY
0228005003,228005003,ADVANCED SPACE TECHNOLOGY APPLICATION LABORATORY UYO AKWA IBOM STATE,FEDERAL MINISTRY OF SCIENCE AND TECHNOLOGY
0228036001,228036001,AFRICA REGIONAL CENTRE FOR SPACE SCIENCE AND TECHNOLOGY-ILE-IFE,FEDERAL MINISTRY OF SCIENCE AND TECHNOLOGY
0228008015,228008015,"AQUATIC BIORESOURCES TRAINING CENTRE , ADIABO IKOT MBO OTU CROSS RIVER",FEDERAL MINISTRY OF SCIENCE AND TECHNOLOGY
0228008014,228008014,"AQUATIC BIORESOURCES TRAINING CENTRE , TUNARI , TARABA",FEDERAL MINISTRY OF SCIENCE AND TECHNOLOGY
0228008013,228008013,"AQUATIC BIORESOURCES TRAINING CENTRE IDAH , KOGI STATE",FEDERAL MINISTRY OF SCIENCE AND TECHNOLOGY
0228008024,228008024,"BIORESOURCE DEVELOPMENT CENTRE , ABAGANA",FEDERAL MINISTRY OF SCIENCE AND TECHNOLOGY
0228008002,228008002,"BIORESOURCE DEVELOPMENT CENTRE , ABUJA , FCT",FEDERAL MINISTRY OF SCIENCE AND TECHNOLOGY
